team,G,wins,losses,win_pct,SRS,SOS,Unnamed: 8_level_1,wins,losses,Unnamed: 11_level_1,wins,losses,Unnamed: 14_level_1,wins,losses,Unnamed: 17_level_1,Tm.,Opp.,Unnamed: 20_level_1,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,year
Albany (NY),33,24,9,.727,-0.34,-5.18,,15,1,,12,3,,12,5,,2156,1996,,1325,729,1666,.438,205,572,.358,493,650,.758,334,1111,349,187,53,381,544,2015
Arizona,38,34,4,.895,24.33,7.41,,16,2,,17,0,,8,3,,2911,2268,,1525,1009,2068,.488,193,536,.360,700,974,.719,411,1399,528,275,131,419,681,2015
Arkansas,36,27,9,.750,14.07,6.79,,13,5,,17,2,,7,5,,2787,2525,,1450,978,2196,.445,238,681,.349,593,819,.724,470,1290,579,277,168,430,684,2015
Baylor,34,24,10,.706,17.85,9.33,,11,7,,16,2,,6,5,,2349,2048,,1370,813,1874,.434,236,626,.377,487,723,.674,497,1333,497,263,132,434,565,2015
Belmont,33,22,11,.667,0.35,-2.77,,11,5,,12,2,,7,8,,2450,2330,,1320,858,1803,.476,329,866,.380,405,585,.692,307,1093,504,209,66,451,549,2015
Boise State,34,25,9,.735,10.01,1.38,,14,4,,13,1,,8,5,,2390,2045,,1385,831,1823,.456,297,758,.392,431,591,.729,298,1119,409,206,79,348,582,2015
Brigham Young,35,25,10,.714,13.53,5.02,,13,5,,13,3,,8,3,,2931,2561,,1420,976,2090,.467,300,763,.393,679,886,.766,421,1349,594,257,103,417,721,2015
Buffalo,33,23,10,.697,7.93,1.60,,12,6,,11,2,,9,7,,2462,2253,,1320,837,1922,.435,199,583,.341,589,819,.719,420,1260,433,248,132,378,613,2015
Butler,34,23,11,.676,16.64,8.62,,12,6,,13,3,,7,4,,2346,2073,,1380,814,1882,.433,192,540,.356,526,767,.686,408,1239,387,217,103,376,592,2015
Cincinnati,34,23,11,.676,10.72,4.40,,13,5,,15,3,,6,5,,2113,1898,,1380,761,1705,.446,167,507,.329,424,633,.670,383,1178,394,222,185,432,507,2015
Coastal Carolina,34,24,10,.706,-1.02,-6.18,,12,6,,14,2,,8,7,,2438,2121,,1360,836,1899,.440,228,633,.360,538,780,.690,447,1338,385,240,111,399,559,2015
Davidson,32,24,8,.750,11.97,3.19,,14,4,,14,1,,9,4,,2529,2221,,1285,898,1924,.467,343,877,.391,390,553,.705,335,1144,547,171,93,303,601,2015
Dayton,36,27,9,.750,10.98,4.06,,13,5,,16,0,,5,6,,2439,2190,,1445,810,1755,.462,239,670,.357,580,846,.686,255,1121,490,250,91,415,573,2015
Duke,39,35,4,.897,24.97,9.87,,15,3,,15,1,,9,2,,3091,2502,,1570,1099,2191,.502,283,732,.387,610,873,.699,445,1436,588,278,149,421,607,2015
Eastern Washington,35,26,9,.743,0.79,-3.84,,14,4,,13,2,,11,6,,2820,2588,,1410,977,2045,.478,344,860,.400,522,719,.726,351,1183,454,219,167,376,624,2015
Georgetown,33,22,11,.667,15.48,9.81,,12,6,,13,3,,5,4,,2340,2153,,1340,799,1753,.456,201,569,.353,541,769,.704,367,1152,427,251,156,415,668,2015
Georgia,33,21,12,.636,12.42,8.60,,11,7,,12,4,,8,4,,2250,2124,,1351,747,1730,.432,184,538,.342,572,826,.692,360,1260,411,183,151,420,608,2015
Georgia State,35,25,10,.714,5.47,-2.03,,15,5,,12,1,,8,8,,2499,2184,,1415,902,1878,.480,174,522,.333,521,719,.725,322,1116,479,321,143,366,642,2015
Gonzaga,38,35,3,.921,21.12,5.12,,17,1,,15,1,,11,1,,2989,2343,,1525,1084,2083,.520,264,660,.400,557,806,.691,391,1441,620,226,126,397,637,2015
Hampton,35,17,18,.486,-8.25,-7.08,,8,8,,6,5,,5,12,,2346,2387,,1405,796,1959,.406,194,638,.304,560,859,.652,416,1292,372,235,141,494,752,2015
Harvard,30,22,8,.733,4.47,-0.25,,12,3,,12,2,,9,4,,1926,1727,,1220,671,1548,.433,146,412,.354,438,609,.719,316,1025,384,213,135,349,472,2015
Indiana,34,20,14,.588,12.94,7.20,,9,9,,15,4,,3,6,,2633,2438,,1365,923,1989,.464,319,786,.406,468,651,.719,407,1224,473,170,108,392,606,2015
Iowa,34,22,12,.647,15.83,8.39,,12,6,,14,4,,7,4,,2372,2119,,1370,821,1905,.431,192,576,.333,538,723,.744,422,1274,482,218,158,377,536,2015
Iowa State,34,25,9,.735,17.94,9.15,,12,6,,15,1,,6,5,,2645,2346,,1360,940,1973,.476,263,726,.362,502,721,.696,323,1221,546,218,133,375,527,2015
Kansas,36,27,9,.750,18.47,12.13,,13,5,,15,0,,5,6,,2561,2333,,1445,869,1976,.440,213,562,.379,610,842,.724,426,1364,475,237,175,463,639,2015
Kentucky,39,38,1,.974,28.72,8.67,,18,0,,19,0,,10,0,,2900,2118,,1575,1006,2150,.468,203,582,.349,685,943,.726,491,1482,553,253,268,408,665,2015
Lafayette,33,20,13,.606,-3.37,-3.12,,9,9,,11,5,,9,7,,2426,2409,,1325,872,1799,.485,261,640,.408,421,549,.767,282,1017,514,181,83,366,515,2015
Louisiana State,33,22,11,.667,11.39,5.63,,11,7,,13,4,,8,3,,2423,2233,,1350,892,1962,.455,189,558,.339,450,658,.684,401,1294,516,240,204,476,516,2015
Louisville,36,27,9,.750,18.12,8.98,,12,6,,15,4,,7,3,,2483,2154,,1450,878,2048,.429,198,644,.307,529,792,.668,454,1351,419,283,192,408,623,2015
Manhattan,33,19,14,.576,-1.34,-3.34,,13,7,,9,2,,5,9,,2300,2234,,1340,756,1748,.432,215,640,.336,573,829,.691,345,1065,460,264,92,481,758,2015
