season,winner,winner_seed,loser,loser_seed
2015,Villanova,1,Lafayette,16
2015,NC State,8,LSU,9
2015,Northern Iowa,5,Wyoming,12
2015,Louisville,4,UC Irvine,13
2015,Dayton,11,Providence,6
2015,Oklahoma,3,Albany (NY),14
2015,Michigan State,7,Georgia,10
2015,Virginia,2,Belmont,15
2015,NC State,8,Villanova,1
2015,Louisville,4,Northern Iowa,5
2015,Oklahoma,3,Dayton,11
2015,Michigan State,7,Virginia,2
2015,Louisville,4,NC State,8
2015,Michigan State,7,Oklahoma,3
2015,Michigan State,7,Louisville,4
2015,Kentucky,1,Hampton,16
2015,Cincinnati,8,Purdue,9
2015,West Virginia,5,Buffalo,12
2015,Maryland,4,Valparaiso,13
2015,Butler,6,Texas,11
2015,Notre Dame,3,Northeastern,14
2015,Wichita State,7,Indiana,10
2015,Kansas,2,New Mexico State,15
2015,Kentucky,1,Cincinnati,8
2015,West Virginia,5,Maryland,4
2015,Notre Dame,3,Butler,6
2015,Wichita State,7,Kansas,2
2015,Kentucky,1,West Virginia,5
2015,Notre Dame,3,Wichita State,7
2015,Kentucky,1,Notre Dame,3
2015,Duke,1,Robert Morris,16
2015,San Diego State,8,St. John's (NY),9
2015,Utah,5,Stephen F. Austin,12
2015,Georgetown,4,Eastern Washington,13
2015,UCLA,11,SMU,6
2015,UAB,14,Iowa State,3
2015,Iowa,7,Davidson,10
2015,Gonzaga,2,North Dakota State,15
2015,Duke,1,San Diego State,8
2015,Utah,5,Georgetown,4
2015,UCLA,11,UAB,14
2015,Gonzaga,2,Iowa,7
2015,Duke,1,Utah,5
2015,Gonzaga,2,UCLA,11
2015,Duke,1,Gonzaga,2
2015,Wisconsin,1,Coastal Carolina,16
2015,Oregon,8,Oklahoma State,9
2015,Arkansas,5,Wofford,12
2015,UNC,4,Harvard,13
2015,Xavier,6,Ole Miss,11
2015,Georgia State,14,Baylor,3
2015,Ohio State,10,VCU,7
2015,Arizona,2,Texas Southern,15
