team,G,wins,losses,win_pct,SRS,SOS,Unnamed: 8_level_1,wins,losses,Unnamed: 11_level_1,wins,losses,Unnamed: 14_level_1,wins,losses,Unnamed: 17_level_1,Tm.,Opp.,Unnamed: 20_level_1,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,year
Akron,35,29,6,.829,8.48,-2.91,,17,1,,15,0,,9,3,,3075,2590,,1400,1115,2227,.501,376,998,.377,469,621,.755,397,1319,639,261,109,381,549,2026
Alabama,35,25,10,.714,23.03,14.57,,13,5,,12,3,,7,3,,3192,2896,,1410,1052,2312,.455,450,1256,.358,638,832,.767,437,1425,571,225,174,343,646,2026
Arizona,39,36,3,.923,29.78,13.01,,16,2,,16,1,,9,1,,3360,2706,,1565,1183,2372,.499,229,625,.366,765,1042,.734,506,1663,639,287,165,421,619,2026
Arkansas,37,28,9,.757,21.48,12.32,,13,5,,17,1,,5,5,,3337,2998,,1500,1196,2387,.501,301,788,.382,644,857,.751,404,1333,635,272,191,332,618,2026
Brigham Young,35,23,12,.657,20.39,12.27,,9,9,,12,3,,3,6,,2924,2640,,1405,1034,2173,.476,298,864,.345,558,747,.747,429,1333,465,251,155,376,555,2026
California Baptist,34,25,9,.735,2.56,-2.50,,13,5,,15,0,,7,7,,2470,2298,,1375,868,2021,.429,216,646,.334,518,726,.713,470,1360,346,187,97,416,629,2026
Clemson,35,24,11,.686,16.35,9.32,,12,6,,13,3,,6,5,,2582,2336,,1410,886,1960,.452,288,844,.341,522,720,.725,326,1193,446,219,98,322,566,2026
Connecticut,40,34,6,.850,23.42,12.02,,17,3,,15,2,,9,2,,3064,2608,,1610,1112,2354,.472,331,963,.344,509,703,.724,475,1464,722,273,202,435,727,2026
Duke,38,35,3,.921,30.15,12.15,,17,1,,15,0,,10,1,,3102,2418,,1520,1079,2198,.491,332,957,.347,612,840,.729,471,1529,634,281,129,405,588,2026
Florida,35,27,8,.771,27.74,12.14,,16,2,,14,1,,8,2,,3050,2504,,1400,1084,2241,.484,259,830,.312,623,875,.712,557,1580,596,232,175,412,619,2026
Furman,35,22,13,.629,-2.91,-5.38,,10,8,,11,5,,7,5,,2671,2479,,1415,955,2010,.475,311,947,.328,450,649,.693,374,1314,546,166,115,417,528,2026
Georgia,33,22,11,.667,18.46,8.89,,10,8,,14,4,,6,4,,2951,2635,,1340,1013,2169,.467,324,960,.338,601,801,.750,432,1258,487,277,199,352,559,2026
Gonzaga,35,31,4,.886,23.94,5.82,,16,2,,15,0,,8,2,,2950,2316,,1405,1119,2215,.505,227,682,.333,485,686,.707,420,1396,643,293,128,336,583,2026
Hawaii,33,24,9,.727,4.45,-3.10,,14,6,,16,3,,6,5,,2626,2328,,1330,890,1939,.459,246,779,.316,600,813,.738,366,1288,454,217,132,443,584,2026
High Point,36,31,5,.861,7.27,-6.34,,15,1,,17,1,,7,2,,3230,2565,,1450,1099,2253,.488,339,961,.353,693,931,.744,419,1313,589,381,136,333,666,2026
Hofstra,35,24,11,.686,4.16,-1.96,,12,6,,10,2,,9,8,,2641,2336,,1410,914,2074,.441,333,900,.370,480,644,.745,435,1369,446,175,128,372,597,2026
Houston,37,30,7,.811,26.24,11.70,,14,4,,15,1,,6,3,,2844,2306,,1485,1027,2293,.448,324,934,.347,466,603,.773,473,1371,540,279,141,308,664,2026
Howard,35,24,11,.686,-4.26,-10.42,,11,3,,11,4,,7,6,,2722,2420,,1404,916,1999,.458,244,687,.355,646,885,.730,428,1268,563,292,122,463,667,2026
Idaho,36,21,15,.583,-0.58,-2.21,,9,9,,9,4,,7,9,,2800,2618,,1445,956,2153,.444,355,1011,.351,533,728,.732,380,1341,447,210,86,379,649,2026
Illinois,37,28,9,.757,26.69,12.23,,15,5,,14,3,,8,2,,3079,2544,,1500,1049,2276,.461,391,1132,.345,590,756,.780,494,1519,524,137,171,323,496,2026
Iowa,37,24,13,.649,19.20,10.93,,10,10,,14,3,,3,8,,2758,2452,,1485,962,1974,.487,302,848,.356,532,692,.769,327,1085,555,253,71,352,642,2026
Iowa State,37,29,8,.784,26.62,10.27,,12,6,,16,1,,5,5,,3033,2428,,1480,1090,2235,.488,332,867,.383,521,772,.675,438,1307,643,333,97,378,591,2026
Kansas,35,24,11,.686,20.42,14.36,,12,6,,14,2,,5,6,,2629,2417,,1410,933,2067,.451,252,728,.346,511,666,.767,353,1367,488,189,202,376,502,2026
Kennesaw State,35,21,14,.600,0.43,-1.35,,10,10,,13,3,,4,8,,2898,2659,,1410,961,2164,.444,323,932,.347,653,944,.692,484,1405,492,250,184,415,698,2026
Kentucky,36,22,14,.611,19.13,12.96,,10,8,,14,4,,4,6,,2898,2676,,1445,1008,2165,.466,294,859,.342,588,809,.727,420,1345,574,252,164,388,662,2026
Lehigh,35,18,17,.514,-10.05,-7.48,,11,7,,13,4,,4,11,,2545,2582,,1445,907,1967,.461,273,767,.356,458,629,.728,275,1122,498,233,114,428,554,2026
Long Island University,35,24,11,.686,-5.16,-7.08,,15,3,,14,1,,10,9,,2577,2510,,1405,955,2009,.475,211,589,.358,456,684,.667,398,1221,479,272,188,453,621,2026
Louisville,35,24,11,.686,22.44,10.70,,11,7,,15,2,,4,7,,2949,2538,,1400,1002,2131,.470,406,1127,.360,537,706,.761,396,1342,597,237,115,417,646,2026
Maryland-Baltimore County,33,24,9,.727,-4.68,-11.81,,14,2,,15,2,,9,6,,2522,2230,,1330,890,1883,.473,268,739,.363,474,625,.758,269,1167,400,167,84,316,444,2026
McNeese,34,28,6,.824,7.65,-1.54,,19,3,,14,0,,9,5,,2709,2271,,1375,953,2054,.464,229,715,.320,574,765,.750,434,1196,478,357,148,323,635,2026
