season,winner,winner_seed,loser,loser_seed
2026,Duke,1,Siena,16
2026,TCU,9,Ohio State,8
2026,St. John's (NY),5,Northern Iowa,12
2026,Kansas,4,California Baptist,13
2026,Louisville,6,South Florida,11
2026,Michigan State,3,North Dakota State,14
2026,UCLA,7,UCF,10
2026,UConn,2,Furman,15
2026,Duke,1,TCU,9
2026,St. John's (NY),5,Kansas,4
2026,Michigan State,3,Louisville,6
2026,UConn,2,UCLA,7
2026,Duke,1,St. John's (NY),5
2026,UConn,2,Michigan State,3
2026,UConn,2,Duke,1
2026,Michigan,1,Howard,16
2026,Saint Louis,9,Georgia,8
2026,Texas Tech,5,Akron,12
2026,Alabama,4,Hofstra,13
2026,Tennessee,6,Miami (OH),11
2026,Virginia,3,Wright State,14
2026,Kentucky,7,Santa Clara,10
2026,Iowa State,2,Tennessee State,15
2026,Michigan,1,Saint Louis,9
2026,Alabama,4,Texas Tech,5
2026,Tennessee,6,Virginia,3
2026,Iowa State,2,Kentucky,7
2026,Michigan,1,Alabama,4
2026,Tennessee,6,Iowa State,2
2026,Michigan,1,Tennessee,6
2026,Florida,1,Prairie View A&M,16
2026,Iowa,9,Clemson,8
2026,Vanderbilt,5,McNeese,12
2026,Nebraska,4,Troy,13
2026,VCU,11,UNC,6
2026,Illinois,3,Penn,14
2026,Texas A&M,10,Saint Mary's,7
2026,Houston,2,Idaho,15
2026,Iowa,9,Florida,1
2026,Nebraska,4,Vanderbilt,5
2026,Illinois,3,VCU,11
2026,Houston,2,Texas A&M,10
2026,Iowa,9,Nebraska,4
2026,Illinois,3,Houston,2
2026,Illinois,3,Iowa,9
2026,Arizona,1,LIU,16
2026,Utah State,9,Villanova,8
2026,High Point,12,Wisconsin,5
2026,Arkansas,4,Hawaii,13
2026,Texas,11,BYU,6
2026,Gonzaga,3,Kennesaw State,14
2026,Miami (FL),7,Missouri,10
2026,Purdue,2,Queens (NC),15
2026,Arizona,1,Utah State,9
2026,Arkansas,4,High Point,12
2026,Texas,11,Gonzaga,3
2026,Purdue,2,Miami (FL),7
2026,Arizona,1,Arkansas,4
2026,Purdue,2,Texas,11
2026,Arizona,1,Purdue,2
2026,UConn,2,Illinois,3
2026,Michigan,1,Arizona,1
2026,Michigan,1,UConn,2
